,meank,maxk,D,meanl
0,4.820960698689956,9,37,13.85080058224163
1,5.45679012345679,9,25,10.05050505050505
2,4.96137339055794,11,33,12.206711558383898
3,5.369294605809128,9,30,11.154253112033196
4,5.26890756302521,9,31,11.62046590788214
5,5.421487603305785,9,26,10.583896299852542
6,5.2803347280334725,10,32,12.3533631025632
7,5.2217573221757325,9,29,10.915790584016033
8,5.217021276595744,10,30,11.42262229496272
9,5.2100840336134455,10,30,12.08757933553168
10,5.377593360995851,10,28,11.093810511756569
11,5.265822784810126,9,32,11.86276192519488
12,5.5041322314049586,10,25,10.226055347896162
13,5.182978723404255,9,34,11.30500090925623
14,5.3029045643153525,11,28,11.11573305670816
15,5.243697478991597,11,33,12.391341346665248
16,5.319502074688796,10,25,10.566597510373445
17,5.316666666666666,10,29,11.599128312412832
18,5.174468085106383,10,33,12.412329514457173
19,5.076923076923077,13,32,12.295220278052897
20,5.232067510548523,10,31,12.461345920045769
21,5.03030303030303,10,36,12.785695463956333
22,5.2405063291139244,9,32,12.06089537295287
23,5.319327731092437,11,28,10.563557068396978
24,5.127118644067797,9,32,12.067688424089434
25,5.191489361702128,9,30,11.630551009274413
26,5.402489626556017,9,28,10.803181189488244
27,5.341666666666667,10,27,11.063110181311018
28,5.194915254237288,10,32,12.154309412188965
29,5.421487603305785,10,25,9.655807414011866
30,5.05531914893617,10,30,11.988543371522095
31,5.3,10,29,11.144456066945606
32,5.336134453781512,9,28,10.88901889869872
33,5.174468085106383,9,29,11.638661574831788
34,5.2803347280334725,9,29,10.991596638655462
35,5.047210300429184,9,39,13.56748557051946
36,5.364016736401673,10,26,10.56154846875989
37,5.235294117647059,11,28,10.811225756125236
38,5.068965517241379,9,34,12.326839826839826
39,5.352941176470588,10,29,10.3713434740985
40,5.408333333333333,9,27,10.582740585774058
41,5.338912133891213,11,29,11.361520340353715
42,5.215189873417722,10,27,11.575591790030751
43,4.978165938864628,10,33,12.754539186393933
44,5.135593220338983,9,32,12.387017670393076
45,5.394190871369295,11,28,10.247856154910096
46,5.218487394957983,9,28,10.632344076871254
47,5.194915254237288,9,30,11.93613415073927
48,5.008620689655173,9,25,9.40089638808331
49,5.086206896551724,9,24,9.01442820400226
50,5.3,9,29,11.209239888423989
51,5.2468619246861925,9,30,11.091311838542948
52,5.082251082251083,10,36,13.546395633352155
53,5.145299145299146,9,30,11.67103187704046
54,5.089361702127659,10,36,13.66164757228587
55,5.313807531380753,10,30,11.640378327063043
56,5.26890756302521,9,28,10.70932170336489
57,5.333333333333333,10,27,10.519037656903766
58,5.2468619246861925,9,33,11.791181744664392
59,5.363636363636363,10,30,10.470525702136415
60,5.103448275862069,9,33,12.108486341244962
61,5.098712446351931,11,35,13.457303537072665
62,5.181434599156118,9,34,12.735929342773368
63,4.947826086956522,9,32,13.061591038541865
64,5.297071129707113,10,29,11.415140114623256
65,5.23404255319149,9,33,12.01927623204219
66,5.360995850622406,9,32,11.724100968188106
67,5.316666666666666,9,30,11.230543933054394
68,5.347280334728033,10,25,9.678597798952216
69,5.2521008403361344,12,30,11.418076091195973
70,5.3112033195020745,9,30,10.746715076071922
71,5.1645569620253164,10,35,12.185546735321461
72,4.933920704845815,9,24,8.47213424085181
73,5.383333333333334,9,28,10.822524407252441
74,5.257383966244726,11,27,10.616641636272616
75,5.305439330543933,9,29,12.484933722442952
76,5.277310924369748,9,28,11.606424848420382
77,5.141630901287554,9,31,11.330028118987716
78,5.191489361702128,10,35,13.172358610656483
79,5.410788381742739,10,29,11.401901798063625
80,5.128205128205129,10,33,12.500972084663072
81,5.3277310924369745,10,27,10.798922100485765
82,5.385892116182573,10,25,10.211237897648687
83,5.258333333333334,10,30,11.13636680613668
84,5.429752066115703,9,27,10.710400877884846
85,5.3,9,28,10.918723849372386
86,5.232067510548523,9,28,11.099513695201315
87,5.26890756302521,11,29,11.622522426692196
88,5.302521008403361,10,27,10.505300854519023
89,5.2887029288702925,11,31,12.04370451109314
90,5.184873949579832,9,30,11.893025564656241
91,5.316666666666666,11,30,11.720781032078103
92,5.198312236286919,9,30,11.78520346134592
93,5.189873417721519,10,33,12.634091396695988
94,5.157446808510638,10,32,11.64746317512275
95,5.051724137931035,10,34,12.626138229586505
96,5.038297872340426,9,31,11.630041825786506
97,4.786026200873362,9,36,12.791848617176129
98,5.2405063291139244,9,28,10.902417220911106
99,5.291139240506329,9,27,10.914646356289781
100,5.139240506329114,9,27,10.312665379389259
101,5.330543933054393,11,27,11.207025069442002
102,5.316666666666666,10,24,10.418410041841005
103,5.072961373390558,9,31,11.275048098268462
