,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0.0,0.998,-1.0,0.002,1.0,0.0
2,0.0,0.996,-1.0,0.004,1.0,0.0
3,0.0,0.994,-1.0,0.006,1.0,0.0
4,0.0,0.992,-1.0,0.008,1.0,0.0
5,0.0,0.99,-1.0,0.01,1.0,0.0
6,0.0,0.988,-1.0,0.012,1.0,0.0
7,0.0,0.986,-1.0,0.014,1.0,0.0
8,0.0,0.984,-1.0,0.016,1.0,0.0
9,0.0,0.982,-1.0,0.018,1.0,0.0
10,0.0,0.98,-1.0,0.02,1.0,0.0
11,0.0,0.978,-1.0,0.022,1.0,0.0
12,0.0,0.976,-1.0,0.024,1.0,0.0
13,0.0,0.974,-1.0,0.026,1.0,0.0
14,0.0,0.972,-1.0,0.028,1.0,0.0
15,0.0,0.97,-1.0,0.03,1.0,0.0
16,0.0,0.968,-1.001,0.032,1.0,0.0
17,0.001,0.965998,-1.0,0.034,1.0,1.997999963350594e-06
18,0.001,0.963998,-1.0,0.036,1.0,1.997999963350594e-06
19,0.001,0.961998,-1.003,0.038,1.0,1.997999905142933e-06
20,0.004,0.959992,-1.0,0.04,1.002,1.996800006600097e-05
21,0.004,0.957992,-1.0,0.042,1.002,1.996800006600097e-05
22,0.004,0.955992,-1.0,0.044,1.002,1.996800000779331e-05
23,0.004,0.953992,-1.0,0.046,1.002,1.996800000779331e-05
24,0.004,0.951992,-1.0,0.048,1.002,1.996800000779331e-05
25,0.004,0.949992,-1.0,0.05,1.002,1.996800000779331e-05
26,0.004,0.947992,-1.007,0.052,1.002,1.996800000779331e-05
27,0.011,0.945978,-1.0,0.054,1.003,7.775800005765632e-05
28,0.011,0.943978,-1.002,0.056,1.003,7.775800005765632e-05
29,0.013,0.9419740000000001,-1.004,0.058,1.003,8.566199993947521e-05
30,0.017,0.939966,-1.0,0.06,1.003,9.742199996253476e-05
31,0.017,0.937966,-1.001,0.062,1.003,9.742200002074242e-05
32,0.018,0.935964,-1.003,0.064,1.003,9.935199993196875e-05
33,0.021,0.933958,-1.005,0.066,1.004,0.00010911800002213568
