,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
0,0.0,1.0,-1.0,0.0,1.0,0.0
1,0.0,0.999,-1.0,0.001,1.0,0.0
2,0.0,0.998,-1.0,0.002,1.0,0.0
3,0.0,0.997,-1.0,0.003,1.0,0.0
4,0.0,0.996,-1.0,0.004,1.0,0.0
5,0.0,0.995,-1.0,0.005,1.0,0.0
6,0.0,0.994,-1.0,0.006,1.0,0.0
7,0.0,0.993,-1.0,0.007,1.0,0.0
8,0.0,0.992,-1.0,0.008,1.0,0.0
9,0.0,0.991,-1.0,0.009,1.0,0.0
10,0.0,0.99,-1.0,0.01,1.0,0.0
11,0.0,0.989,-1.0,0.011,1.0,0.0
12,0.0,0.988,-1.0,0.012,1.0,0.0
13,0.0,0.987,-1.0,0.013,1.0,0.0
14,0.0,0.986,-1.0,0.014,1.0,0.0
15,0.0,0.985,-1.0,0.015,1.0,0.0
16,0.0,0.984,-1.0,0.016,1.0,0.0
17,0.0,0.983,-1.0,0.017,1.0,0.0
18,0.0,0.982,-1.0,0.018,1.0,0.0
19,0.0,0.981,-1.0,0.019,1.0,0.0
20,0.0,0.98,-1.0,0.02,1.0,0.0
21,0.0,0.979,-1.0,0.021,1.0,0.0
22,0.0,0.978,-1.0,0.022,1.0,0.0
23,0.0,0.977,-1.0,0.023,1.0,0.0
24,0.0,0.976,-1.0,0.024,1.0,0.0
25,0.0,0.975,-1.0,0.025,1.0,0.0
26,0.0,0.974,-1.0,0.026,1.0,0.0
27,0.0,0.973,-1.0,0.027,1.0,0.0
28,0.0,0.972,-2.49,0.028,1.0,0.0
29,1.49,0.96951,-1.0,0.029,1.0,0.21978990000009072
30,1.49,0.96851,-1.0,0.03,1.0,0.21978990000009072
31,1.49,0.96751,-10.28,0.031,1.0,0.2197898999999743
32,10.77,0.95723,-1.0,0.032,10.26,4.417717100000009
33,10.77,0.95623,-0.99,0.033,10.26,4.417717100000009
34,10.76,0.95524,-1.0,0.034,10.25,4.4083224000000625
35,10.76,0.95424,-10.28,0.035,10.25,4.4083224000000625
36,20.04,0.94396,-9.57,0.036,12.62,7.246158399999957
37,28.61,0.9343899999999999,-14.59,0.037,16.87,10.500537899999996
38,42.2,0.9198,-34.89,0.038,26.05,15.699060000000056
39,76.09,0.88491,-13.49,0.039,43.49,26.222461900000113
40,88.58,0.87142,-9.37,0.04,47.04,29.414703600000124
41,96.95,0.86205,-12.88,0.041,51.21,31.3625475000001
42,108.83,0.84917,-12.83,0.042,57.13,33.092781100000025
43,120.66,0.8363400000000001,-22.66,0.043,60.93,35.05686439999996
44,142.32,0.81368,-10.02,0.044,60.91,38.75721760000009
45,151.34,0.8036599999999999,-23.02,0.045,65.17,40.176144400000105
46,171.63,0.78064,-22.9,0.046,72.58063,41.712050399999946
47,193.53,0.75774,-4.35,0.047,85.33063,43.276932399999936
48,195.47,0.75339,-13.93,0.048,91.21818999999999,43.06423789999995
49,203.23,0.73946,-20.98,0.049,101.94965,43.82402839999995
50,218.69,0.71848,-20.09,0.05,114.53555999999999,44.75168959999993
51,237.78,0.69839,-21.24,0.051,125.37556,42.976257899999965
52,245.91,0.67715,-16.44,0.052,145.49795,42.96192749999999
53,255.09,0.66071,-16.19,0.053,152.51743,41.11538589999999
54,265.76,0.64452,-26.87,0.054,157.11865,38.70862959999999
55,284.83,0.61765,-18.71,0.055,161.58518999999998,34.38308750000002
56,294.61,0.59894,-8.42,0.056,171.81649000000004,33.418496399999945
57,292.45,0.5905199999999999,-25.42,0.057,172.38656,33.17948960000003
58,306.82,0.5651,-10.91,0.058,183.66187000000002,27.385969999999972
59,306.3,0.5541900000000001,-12.4,0.059,183.38535,25.303693899999956
60,309.58,0.54179,-17.11,0.06,191.5069800000001,23.363325899999996
61,315.63,0.5246799999999999,-10.02,0.061,203.34543000000008,18.462197600000014
62,316.18,0.51466,-9.68,0.062,214.36175000000006,17.090944400000037
63,315.17,0.50498,-17.96,0.063,219.01187000000002,17.931659600000014
64,310.49,0.48702,-7.81,0.064,224.2073400000001,16.880839600000037
65,301.16,0.47920999999999997,-11.95,0.065,229.78870000000006,17.180305900000008
66,296.83,0.46726,-1.62,0.066,234.16209000000006,17.867712399999988
67,294.31,0.46564,-8.38,0.067,231.7916200000001,18.000450400000002
68,291.36,0.45726,-18.47,0.068,230.24206,17.68645240000001
69,290.96,0.43879,-13.15,0.069,232.01328000000004,16.981145899999973
70,287.7,0.42563999999999996,-14.32,0.07,233.06842,16.393410400000022
71,284.95,0.41132,-14.75,0.071,235.38042000000002,15.717937600000004
72,287.29,0.39657,-9.71,0.072,240.47553000000008,13.26496510000003
73,288.12,0.38686000000000004,-10.78,0.073,243.53414000000004,10.773800399999978
74,285.32,0.37607999999999997,-7.13,0.074,237.7779600000001,9.277053600000015
75,283.51,0.36895,-8.83,0.075,235.67142000000007,8.249567500000033
76,276.65,0.36012,-4.43,0.076,228.14789000000007,8.002485599999986
77,272.88,0.35569,-3.43,0.077,230.55267000000003,7.770553899999999
78,269.74,0.35226,-14.18,0.078,229.55858000000006,7.334632400000002
79,263.8,0.33808,-9.01,0.079,222.56506000000007,7.02939360000001
80,257.58,0.32907,-6.07,0.08,215.9715700000001,6.227605100000001
81,255.01,0.323,-7.92,0.081,213.1909000000001,5.739179999999993
82,250.37,0.31507999999999997,-7.67,0.082,211.0144300000001,4.749693600000013
83,247.75,0.30741,-4.6,0.083,208.1321200000001,4.6584018999999826
84,243.77,0.30281,-2.7,0.084,204.95908000000006,4.546473899999997
85,240.46,0.30011,-4.29,0.085,202.2670300000001,4.65379789999999
86,235.09,0.29581999999999997,-3.03,0.086,197.28318000000002,4.248747600000002
87,231.06,0.29279,-2.33,0.087,193.00910000000007,4.043025899999979
88,228.26,0.29046,-2.84,0.088,190.33394000000004,3.9510084000000205
89,225.87,0.28762,-7.88,0.089,188.08784,4.1277356
90,221.73,0.27974,-4.56,0.09,183.89938,3.468492400000003
91,218.75,0.27518,-7.19,0.091,180.95387000000002,3.499347599999994
