,meank,maxk,D,meanl
0,5.658561296859169,10,83,30.49185483253918
1,5.600203977562468,10,95,34.06843343150621
2,5.681978798586573,11,76,26.885539901794317
3,5.695717884130983,12,85,30.13085286828634
4,5.723340040241449,10,84,31.187041726959645
5,5.701161029782938,11,83,31.47120982668686
6,5.584309730005094,11,83,29.79085300277353
7,5.651997976732423,11,81,29.953830897425657
8,5.684848484848485,11,88,30.44189188499446
9,5.679636179888833,11,83,31.2606232989361
10,5.7407035175879395,11,78,29.036019716480844
11,5.6403242147923,11,84,30.133738088305602
12,5.597753956100051,11,98,33.29206026922702
13,5.556916794282797,11,84,30.5561602222476
14,5.541538461538462,11,89,32.45532778150531
15,5.620356234096692,11,68,25.091292795722453
16,5.6189024390243905,10,99,34.15301302796963
17,5.637195121951219,11,84,30.42515737307856
18,5.6378433367243135,12,97,34.42234163994005
19,5.658189216683621,11,90,33.83029931222642
20,5.703629032258065,11,81,28.790161432661495
21,5.675757575757576,12,85,30.474147743223035
22,5.674747474747475,11,87,30.421430066200152
23,5.646879756468797,11,86,31.3094561497037
24,5.619144602851324,12,89,30.365056498376795
25,5.6594019260010135,11,88,30.843427858236293
26,5.582484725050916,11,84,29.778169558419354
27,5.575510204081633,12,83,31.387161296371534
28,5.703219315895372,11,82,28.904945526202003
29,5.707808564231738,11,83,30.89235039002194
30,5.602238046795524,11,88,31.729364592474095
31,5.606724401426388,11,87,30.08298216287766
32,5.693239152371342,11,85,29.33273667958624
33,5.6737373737373735,11,83,30.003320726211076
34,5.62917933130699,11,84,30.55149071738993
35,5.58676844783715,11,87,32.53071106896141
36,5.684529828109201,12,83,30.8656654663105
37,5.603255340793489,11,97,32.92207573472635
38,5.657200811359027,11,84,30.82340231531651
39,5.6841574167507565,11,82,29.17108596245564
40,5.629817444219067,11,80,30.02967727793369
41,5.757636454682023,12,74,28.36550216105722
42,5.649442755825735,11,83,31.104393609575265
43,5.6395939086294415,11,83,30.13946887414828
44,5.546571136131013,11,95,33.085383691782475
45,5.641442356526156,12,83,30.695723758913566
46,5.703778337531486,10,85,30.23885339644105
47,5.568286445012788,13,93,31.124698238513954
48,5.700050327126321,11,82,29.566520753477665
49,5.719457013574661,12,85,30.613578909353556
50,5.639227642276423,11,85,31.118781541780848
51,5.65402124430956,10,84,29.858416834077723
52,5.711267605633803,12,79,29.179321525529623
53,5.6403242147923,11,87,31.379415934774983
54,5.753753753753754,11,78,28.16643383493659
55,5.561797752808989,11,87,32.22196217658201
56,5.6455696202531644,11,80,30.60665615020584
57,5.7431008529854495,11,76,28.85438542932392
58,5.6881937436932395,10,80,29.3340427298488
