,meank,maxk,D,meanl
0,5.142857142857143,9,21,7.90414470873095
1,4.831858407079646,8,25,8.909766118836915
2,5.092436974789916,9,19,7.730380287708304
3,5.084745762711864,8,20,7.683470954657396
4,5.1525423728813555,9,18,7.481964363320295
5,4.9914529914529915,8,21,8.189949896846448
6,4.94017094017094,8,18,7.519599174771589
7,5.216666666666667,8,18,6.69467787114846
8,4.625,9,24,9.043114543114543
9,5.203389830508475,10,18,7.47834274952919
10,4.771929824561403,8,23,8.381617761217202
11,5.094017094017094,9,19,7.9447391688771
12,5.101694915254237,9,21,8.334057656091554
13,5.084745762711864,8,20,7.762132406200203
14,5.126050420168068,8,20,7.413758723828514
15,5.094017094017094,9,19,7.4743589743589745
16,5.176470588235294,9,18,7.381284717276741
17,4.738738738738738,9,19,6.816275862068966
18,4.94017094017094,8,21,8.445181255526084
19,4.982758620689655,9,23,8.57856071964018
20,5.05982905982906,9,22,7.887120542292956
21,5.076923076923077,11,22,8.710138520483348
22,4.767857142857143,8,15,5.673870878359656
23,4.6902654867256635,10,22,8.771649810366625
24,5.15,9,19,7.011484593837535
25,5.159663865546219,8,18,7.371029767839339
26,5.166666666666667,9,20,7.980392156862745
27,4.9914529914529915,9,21,8.286472148541113
28,4.931034482758621,8,21,8.72263868065967
29,4.761061946902655,9,16,6.110584123814278
30,4.888888888888889,9,20,7.709254347185381
31,4.982758620689655,9,20,8.119490254872563
32,5.226890756302521,9,20,7.816265489246546
33,4.931034482758621,8,21,8.72743628185907
34,5.271186440677966,10,16,6.6944806605823555
35,5.101694915254237,9,20,7.870925684485006
36,5.11864406779661,9,21,8.042879907286688
37,4.923076923076923,8,20,8.338638373121132
38,4.852173913043479,8,23,8.222578184591914
39,5.051724137931035,9,21,8.583958020989506
40,4.913793103448276,8,23,8.798200899550224
41,5.084745762711864,9,20,8.31087932782848
42,4.761061946902655,9,24,9.291087231352718
43,4.625,8,25,9.32979407979408
44,5.226890756302521,9,19,7.958125623130608
45,4.732142857142857,9,16,6.080962800875273
46,4.719298245614035,8,29,11.364850178543705
47,5.0256410256410255,9,22,7.842469790745652
48,4.862068965517241,8,21,8.200749625187406
49,4.6902654867256635,9,21,8.90960809102402
50,4.9743589743589745,8,21,8.972295903330386
51,4.348623853211009,8,17,6.556399766218585
52,5.1525423728813555,10,19,7.695784441547153
53,4.771929824561403,8,23,9.227293898462971
54,5.05982905982906,9,21,8.329944002357795
55,5.159663865546219,9,20,8.13003845606039
56,4.824561403508772,8,22,8.537649433317808
57,4.939130434782609,9,23,8.669870327993898
58,5.135593220338983,8,20,7.949007677821237
59,4.9914529914529915,10,21,8.229737695254936
60,5.25,9,17,7.000700280112045
61,5.042735042735043,10,22,8.54096669613911
62,4.862068965517241,9,19,7.2850074962518745
63,4.7894736842105265,9,22,8.696320447135538
64,5.1525423728813555,9,20,7.808199333623063
65,5.19327731092437,9,19,7.237572995299815
